Code,Area name,Inner/ Outer London,GLA Population estimate/ projection,Inland Area (Hectares),Total Area (Hectares),Population per hectare,Square Kilometres,Population per square kilometre,,Census population (2011),Population per hectare
E09000001,City of London,Inner,"8,408",290,315,29.0,2.9,"2,895",,"7,400",25.5
E09000002,Barking and Dagenham,Outer,"226,988","3,611","3,780",62.9,36.1,"6,286",,"185,900",51.5
E09000003,Barnet,Outer,"418,291","8,675","8,675",48.2,86.7,"4,822",,"356,400",41.1
E09000004,Bexley,Outer,"260,232","6,058","6,429",43.0,60.6,"4,296",,"232,000",38.3
E09000005,Brent,Outer,"350,714","4,323","4,323",81.1,43.2,"8,112",,"311,200",72.0
E09000006,Bromley,Outer,"345,216","15,013","15,013",23.0,150.1,"2,299",,"309,400",20.6
E09000007,Camden,Inner,"262,494","2,179","2,179",120.5,21.8,"12,047",,"220,300",101.1
E09000008,Croydon,Outer,"411,580","8,650","8,650",47.6,86.5,"4,758",,"363,400",42.0
E09000009,Ealing,Outer,"385,818","5,554","5,554",69.5,55.5,"6,946",,"338,400",60.9
E09000010,Enfield,Outer,"352,879","8,083","8,220",43.7,80.8,"4,366",,"312,500",38.7
E09000011,Greenwich,Outer,"300,514","4,733","5,044",63.5,47.3,"6,349",,"254,600",53.8
E09000012,Hackney,Inner,"296,177","1,905","1,905",155.5,19.0,"15,548",,"246,300",129.3
E09000013,Hammersmith and Fulham,Inner,"206,689","1,640","1,715",126.0,16.4,"12,605",,"182,500",111.3
E09000014,Haringey,Inner,"295,263","2,960","2,960",99.8,29.6,"9,976",,"254,900",86.1
E09000015,Harrow,Outer,"267,120","5,046","5,046",52.9,50.5,"5,293",,"239,100",47.4
E09000016,Havering,Outer,"276,649","11,235","11,446",24.6,112.3,"2,462",,"237,200",21.1
E09000017,Hillingdon,Outer,"325,182","11,570","11,570",28.1,115.7,"2,811",,"273,900",23.7
E09000018,Hounslow,Outer,"291,460","5,598","5,659",52.1,56.0,"5,207",,"254,000",45.4
E09000019,Islington,Inner,"247,009","1,486","1,486",166.3,14.9,"16,626",,"206,100",138.7
E09000020,Kensington and Chelsea,Inner,"163,255","1,212","1,238",134.7,12.1,"13,465",,"158,700",130.9
E09000021,Kingston upon Thames,Outer,"187,973","3,726","3,726",50.4,37.3,"5,045",,"160,100",43.0
E09000022,Lambeth,Inner,"345,285","2,681","2,725",128.8,26.8,"12,879",,"303,100",113.1
E09000023,Lewisham,Inner,"325,830","3,515","3,532",92.7,35.1,"9,270",,"275,900",78.5
E09000024,Merton,Outer,"218,298","3,762","3,762",58.0,37.6,"5,802",,"199,700",53.1
E09000025,Newham,Inner,"372,515","3,620","3,857",102.9,36.2,"10,291",,"308,000",85.1
E09000026,Redbridge,Outer,"323,302","5,642","5,644",57.3,56.4,"5,730",,"279,000",49.5
E09000027,Richmond upon Thames,Outer,"206,708","5,741","5,876",36.0,57.4,"3,601",,"187,000",32.6
E09000028,Southwark,Inner,"336,554","2,886","2,991",116.6,28.9,"11,661",,"288,300",99.9
E09000029,Sutton,Outer,"216,865","4,385","4,385",49.5,43.8,"4,946",,"190,100",43.4
E09000030,Tower Hamlets,Inner,"341,358","1,978","2,158",172.6,19.8,"17,257",,"254,100",128.5
E09000031,Waltham Forest,Outer,"297,439","3,881","3,881",76.6,38.8,"7,664",,"258,200",66.5
E09000032,Wandsworth,Inner,"348,272","3,426","3,522",101.6,34.3,"10,164",,"307,000",89.6
E09000033,Westminster,Inner,"267,274","2,149","2,203",124.4,21.5,"12,439",,"219,400",102.1
,,,,,,,,,,,
E13000001,Inner London,,"3,816,382","31,929","32,796",119.5,319.3,"11,953",,"3,231,900",101.2
E13000002,Outer London,,"5,663,228","125,424","126,676",45.2,"1,254.2","4,515",,"4,942,100",39.4
,,,,,,,,,,,
E12000007,London,,"9,479,610","157,215","159,471",60.3,"1,572.1","6,030",,"8,173,900",52.0
,,,,,,,,,,,
,,,,,,,,,,,
Code,Region,,2016 Population - ONS mid year population estimates,Inland Area (Hectares),Total Area (Hectares),Population per hectare,Square Kilometres,Population per square kilometre,,,
E12000001,North East,,"2,636,848","859,286","867,642",3.1,"8,592.9",307,,,
E12000002,North West,,"7,219,623","1,416,756","1,492,362",5.1,"14,167.6",510,,,
E12000003,Yorkshire and the Humber,,"5,425,741","1,541,156","1,556,403",3.5,"15,411.6",352,,,
E12000004,East Midlands,,"4,724,437","1,562,661","1,581,076",3.0,"15,626.6",302,,,
E12000005,West Midlands,,"5,800,734","1,300,380","1,300,380",4.5,"13,003.8",446,,,
E12000006,East,,"6,130,542","1,907,613","1,957,410",3.2,"19,076.1",321,,,
E12000007,London,,"8,787,892","157,215","159,471",55.9,"1,572.1","5,590",,,
E12000008,South East,,"9,026,297","1,895,645","1,940,740",4.8,"18,956.5",476,,,
E12000009,South West,,"5,515,953","2,385,254","2,438,889",2.3,"23,852.5",231,,,
W92000004,Wales,,"3,113,150","2,078,024","2,122,453",1.5,"20,780.2",150,,,
E92000001,England,,"55,268,067","13,025,967","13,294,373",4.2,"130,259.7",424,,,
K04000001,England and Wales,,"58,381,217","15,103,990","15,416,826",3.9,"151,039.9",387,,,
